Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
JM Bairstow,9,215,243,9,23.89,88.48,59,27,3,2,0
DJ Malan,9,404,400,9,44.89,101.00,140,50,9,2,1
JE Root,9,276,312,9,30.67,88.46,82,21,2,3,0
HC Brook,6,169,150,6,28.17,112.67,66,20,5,1,0
MM Ali,6,95,127,6,15.83,74.80,42,8,1,0,0
JC Buttler,9,138,142,9,15.33,97.18,43,11,5,0,0
LS Livingstone,6,60,94,6,10.00,63.83,27,6,0,0,0
SM Curran,3,35,57,3,11.67,61.40,14,1,0,0,0
CR Woakes,8,131,155,7,18.71,84.52,51,15,2,1,0
AU Rashid,9,92,90,5,18.40,102.22,20,7,2,0,0
MA Wood,6,85,65,3,28.33,130.77,43,7,5,0,0
DP Conway,10,372,366,9,41.33,101.64,152,54,4,0,1
WA Young,6,206,246,6,34.33,83.74,70,23,6,2,0
R Ravindra,10,578,543,9,64.22,106.45,123,55,17,2,3
Fakhar Zaman,4,220,179,3,73.33,122.91,126,14,18,1,1
Imam-ul-Haq,6,162,180,6,27.00,90.00,70,23,0,1,0
Babar Azam,9,320,386,8,40.00,82.90,74,32,4,4,0
Mohammad Rizwan,8,395,414,6,65.83,95.41,131,38,5,1,1
Saud Shakeel,7,241,246,7,34.43,97.97,68,30,1,2,0
Iftikhar Ahmed,8,142,123,6,23.67,115.45,40,11,8,0,0
Mohammad Nawaz(3),4,81,97,3,27.00,83.51,39,5,3,0,0
Shadab Khan,5,121,120,5,24.20,100.83,43,7,4,0,0
Hasan Ali,3,20,28,3,6.67,71.43,12,4,0,0,0
Shaheen Shah Afridi,6,55,60,4,13.75,91.67,25,7,1,0,0
Haris Rauf,5,53,45,3,17.67,117.78,35,5,4,0,0
Vikramjit Singh,6,98,150,6,16.33,65.33,52,12,1,1,0
MP O'Dowd,9,138,200,9,15.33,69.00,42,22,2,0,0
CN Ackermann,9,216,263,9,24.00,82.13,69,27,0,1,0
BFW de Leede,9,139,199,9,15.44,69.85,67,15,2,1,0
AT Nidamanuru,7,164,167,6,27.33,98.20,54,11,10,1,0
SA Edwards,9,259,298,7,37.00,86.91,78,23,3,2,0
Saqib Zulfiqar,2,13,33,2,6.50,39.39,10,1,0,0,0
RE van der Merwe,8,68,85,8,8.50,80.00,29,4,3,0,0
LV van Beek,8,140,179,6,23.33,78.21,59,9,3,1,0
A Dutt,9,70,87,6,11.67,80.46,23,1,5,0,0
PA van Meekeren,8,26,54,6,4.33,48.15,7,3,0,0,0
Rahmanullah Gurbaz,9,280,283,9,31.11,98.94,80,31,9,2,0
Ibrahim Zadran,9,376,493,8,47.00,76.27,129,39,5,1,1
Rahmat Shah,9,320,419,8,40.00,76.37,77,28,2,3,0
Hashmatullah Shahidi,9,310,424,6,51.67,73.11,80,25,2,3,0
Najibullah Zadran,2,7,21,2,3.50,33.33,5,0,0,0,0
Mohammad Nabi,6,55,76,6,9.17,72.37,19,3,1,0,0
Azmatullah Omarzai,8,353,361,5,70.60,97.78,97,26,13,3,0
Rashid Khan,6,105,111,5,21.00,94.59,35,7,5,0,0
Mujeeb Ur Rahman,5,51,40,4,12.75,127.50,28,6,2,0,0
Naveen-ul-Haq,5,16,25,4,4.00,64.00,9,2,0,0,0
Fazalhaq Farooqi,3,2,9,1,2.00,22.22,2,0,0,0,0
Tanzid Hasan,9,145,152,9,16.11,95.39,51,22,3,1,0
Liton Das,9,284,354,9,31.56,80.23,76,32,5,2,0
Mehidy Hasan Miraz,9,201,253,9,22.33,79.45,57,21,2,1,0
Najmul Hossain Shant,9,222,289,8,27.75,76.82,90,25,1,2,0
Shakib Al Hasan,7,186,226,7,26.57,82.30,82,21,4,1,0
Mushfiqur Rahim,9,202,255,8,25.25,79.22,66,14,4,2,0
Q de Kock,10,594,555,10,59.40,107.03,174,57,21,0,4
T Bavuma,8,145,197,8,18.12,73.60,35,18,3,0,0
HE van der Dussen,10,448,530,9,49.78,84.53,133,39,8,2,2
AK Markram,10,406,366,9,45.11,110.93,106,44,9,3,1
H Klaasen,10,373,280,9,41.44,133.21,109,28,19,1,1
DA Miller,10,356,330,8,44.50,107.88,101,25,20,1,1
M Jansen,8,157,142,5,31.40,110.56,75,9,9,1,0
P Nissanka,9,332,371,8,41.50,89.49,77,44,3,4,0
MDKJ Perera,7,149,147,7,21.29,101.36,78,25,2,2,0
BKG Mendis,9,294,258,9,32.67,113.95,122,27,15,1,1
S Samarawickrama,9,373,365,7,53.29,102.19,108,36,4,2,1
KIC Asalanka,8,288,338,8,36.00,85.21,108,19,11,1,1
DM de Silva,7,140,184,7,20.00,76.09,34,13,4,0,0
MD Shanaka,2,80,80,2,40.00,100.00,68,6,3,1,0
DN Wellalage,3,12,18,3,4.00,66.67,10,1,0,0,0
CAK Rajitha,4,52,57,4,13.00,91.23,33,6,1,0,0
M Pathirana,2,6,19,1,6.00,31.58,5,1,0,0,0
D Madushanka,6,28,67,2,14.00,41.79,19,4,0,0,0
DA Warner,11,535,494,11,48.64,108.30,163,50,24,2,2
MR Marsh,10,441,410,9,49.00,107.56,177,43,21,1,2
SPD Smith,10,302,373,9,33.56,80.97,71,30,2,2,0
M Labuschagne,10,362,512,9,40.22,70.70,71,31,2,3,0
GJ Maxwell,9,400,266,6,66.67,150.38,201,40,22,0,2
AT Carey,1,0,2,1,0.00,0.00,0,0,0,0,0
C Green,3,63,83,3,21.00,75.90,47,6,0,0,0
PJ Cummins,8,128,186,4,32.00,68.82,37,13,5,0,0
MA Starc,8,87,151,7,12.43,57.62,28,7,1,0,0
A Zampa,6,48,60,3,16.00,80.00,29,5,0,0,0
JR Hazlewood,4,4,5,2,2.00,80.00,2,0,0,0,0
RG Sharma,11,597,474,11,54.27,125.95,131,66,31,3,1
Ishan Kishan,2,47,48,2,23.50,97.92,47,5,2,0,0
V Kohli,11,765,847,8,95.62,90.32,117,68,9,6,3
SS Iyer,11,530,468,8,66.25,113.25,128,37,24,3,2
KL Rahul,10,452,498,6,75.33,90.76,102,38,9,2,1
HH Pandya,1,11,8,0,0,137.50,11,0,1,0,0
DJ Mitchell,9,552,497,8,69.00,111.07,134,48,22,2,2
TWM Latham,8,155,170,6,25.83,91.18,68,12,3,2,0
GD Phillips,9,285,255,7,40.71,111.76,71,22,14,2,0
MS Chapman,6,84,71,5,16.80,118.31,39,10,1,0,0
MJ Santner,7,102,81,4,25.50,125.93,36,6,5,0,0
MJ Henry,4,19,22,2,9.50,86.36,10,1,1,0,0
SA Engelbrecht,8,300,450,8,37.50,66.67,70,25,3,2,0
R Klein,1,8,15,1,8.00,53.33,8,0,0,0,0
RJW Topley,2,16,9,0,0,177.78,15,3,0,0,0
Towhid Hridoy,6,164,210,5,32.80,78.10,74,7,5,1,0
Mahedi Hasan,3,33,73,2,16.50,45.21,17,2,0,0,0
Taskin Ahmed,5,49,93,4,12.25,52.69,17,1,3,0,0
Shoriful Islam,5,28,28,1,28.00,100.00,12,3,1,0,0
Mustafizur Rahman,6,42,89,4,10.50,47.19,20,4,1,0,0
M Theekshana,6,100,185,4,25.00,54.05,38,11,1,0,0
Abdullah Shafique,8,336,361,8,42.00,93.07,113,36,9,3,1
K Rabada,4,25,45,3,8.33,55.56,10,0,2,0,0
KA Maharaj,6,59,80,3,19.67,73.75,40,7,1,0,0
JP Inglis,8,159,168,8,19.88,94.64,58,17,3,1,0
MP Stoinis,5,87,77,4,21.75,112.99,35,8,4,0,0
Mahmudullah,7,328,358,6,54.67,91.62,111,28,14,1,1
KS Williamson,4,256,274,3,85.33,93.43,95,29,4,3,0
Shubman Gill,9,354,331,8,44.25,106.95,92,41,12,4,0
Ikram Alikhil,3,89,101,2,44.50,88.12,58,7,3,1,0
C Karunaratne,2,8,28,2,4.00,28.57,6,1,0,0,0
CBRLS Kumara,1,4,8,1,4.00,50.00,4,1,0,0,0
G Coetzee,4,54,78,4,13.50,69.23,22,4,1,0,0
L Ngidi,3,11,41,2,5.50,26.83,7,0,0,0,0
Nasum Ahmed,3,40,48,3,13.33,83.33,19,5,0,0,0
Usama Mir,1,0,3,1,0.00,0.00,0,0,0,0,0
MADI Hemantha,2,4,4,1,4.00,100.00,4,1,0,0,0
RR Hendricks,2,97,94,2,48.50,103.19,85,10,3,1,0
BA Stokes,6,304,341,6,50.67,89.15,108,26,11,2,1
DJ Willey,6,78,67,4,19.50,116.42,16,7,6,0,0
AAP Atkinson,3,37,23,2,18.50,160.87,35,7,0,0,0
LH Ferguson,3,7,9,2,3.50,77.78,6,0,1,0,0
TA Boult,4,21,25,1,21.00,84.00,10,1,1,0,0
SA Yadav,7,106,105,6,17.67,100.95,49,12,1,0,0
RA Jadeja,5,120,118,3,40.00,101.69,39,7,3,0,0
Mohammed Shami,4,10,20,3,3.33,50.00,6,1,0,0,0
Hasan Mahmud,1,15,25,1,15.00,60.00,15,2,0,0,0
Mohammad Wasim(1),2,23,23,1,23.00,100.00,16,2,2,0,0
T Shamsi,3,9,15,0,0,60.00,4,1,0,0,0
TM Head,6,329,258,6,54.83,127.52,137,37,13,1,2
JDS Neesham,2,58,47,2,29.00,123.40,58,3,3,1,0
W Barresi,4,83,112,4,20.75,74.11,41,11,1,0,0
Shariz Ahmad,1,6,8,1,6.00,75.00,6,0,0,0,0
JJ Bumrah,3,18,29,1,18.00,62.07,16,1,0,0,0
Kuldeep Yadav,2,19,31,2,9.50,61.29,10,1,0,0,0
FDM Karunaratne,2,15,22,2,7.50,68.18,15,1,0,0,0
AD Mathews,3,51,78,3,17.00,65.38,23,4,1,0,0
PVD Chameera,4,6,39,4,1.50,15.38,4,0,0,0,0
TG Southee,2,16,21,2,8.00,76.19,9,2,0,0,0
Tanzim Hasan Sakib,1,5,6,0,0,83.33,5,1,0,0,0
Noor Ahmad,1,26,32,1,26.00,81.25,26,4,0,0,0
AL Phehlukwayo,1,39,37,0,0,105.41,39,1,3,0,0
Agha Salman,1,51,45,1,51.00,113.33,51,6,1,1,0
Mohammed Siraj,1,9,8,0,0,112.50,9,1,0,0,0
